Name,Description,Rule,IP62 Rule Name,
WN.W1,WN Wmin,8.0,ER0001,
WN.S1,WN-WN Smin,12.0,ER0104,
WN.S2,WN-WN(R) Smin,9.5,ER0128,
WN.S3,WN-WN(C) Smin ,12.0,ER0130,
WN.S4,WN(R)-WN(C) Smin ,9.5,ER0132,
WN.S5,WN(R)-WN(R) Smin ,8.0,ER0122,
WN.S6,WN(C)-WN(C) Smin ,12.0,ER0129,
WN.AP,WN-AP Smin,10.0,ERWLMN01,
WN.AN,WN-AN Smin,5.0,ERWLMN03,
AR.W1,AR Wmin,2.8,ERRR07,
AR.WZ,AR Wmax,20.0,Table I-2-1,*Spice 2.8/4.0/6.0/12.0/20.0
AR.L1,AR Lmin,13.0,Table I-2-1,
AR.LZ,AR Lmax,100.0,Table I-2-1,
AR.S1,AR Smin,4.0,ERWLRR03,
AR.WR,AR-WN(R) Emin,10.0,ERWLRR02,
AN.WR,AN-WN(R) Emin,5.0,ERWLRR01,
AR.AN,AR-AN Smin,4.0,ERWLRR04,
AC.W1,AC Wmin,28.5,Table I-2-1,
AC.WZ,AC Wmax,120.0,Table I-2-1,
AC.S1,AC Smin,???,,
AC.WC,AC-WN(C) Emin,???,,
AN.WC,AN-WN(C) Emin,3.0,ERCSIO04,
AC.AN,AC-AN Smin,2.8,ERCSIO11,
AC.R1,AN must surround AC,,,
Name,Description,Rule,IP62 Rule Name,
AP.W1,AP Wmin,1.4,ER0004,
AP.S1,AP Smin,1.4,ER0028,
AP.AN,AP-AN Smin,2.8,ERWLMP04,
AP.WM,PMOS Wmin,3.4,ERMP13,
AP.WZ,PMOS Wmax,60.0,Table I-2-1,
AP.WN,AP-WN Emin,7.0,ERWLMP02,
DP.W1,AP Wmin,1.4,ER0004,
DP.S1,DP Smin,???,???,
DP.AP,DP-AP Smin,2.8,ERWLMP08,
DP.AN,DP-AN Smin,2.8,ERWLMP09,
AN.W1,AN Wmin,1.4,ER0004,
AN.S1,AN Smin,1.4,ER0028,
AN.AP,AN-AP Smin,2.8,ERWLMN05,
AN.WM,NMOS Wmin,3.4,ERMN15,
AN.WZ,NMOS Wmax,60.0,Table I-2-1,
AN.WN,AN-WN Emin,5.0,ERWLMP03,
DN.S1,DN Smin,-,???,
DN.AP,DP-AP Smin,2.8,ERWLMN10,
DN.AN,DP-AN Smin,2.8,ERWLMN11,
Name,Description,Rule,IP62 Rule Name,
PO.W1,PO Wmin,1.0,ER0014,
PO.WZ,PO Wmax,30.0,Table I-2-1,
PO.S1,PO Smin,1.2,ER0038,
PO.AP,PO-AP Smin,0.4,ERWLMP07,
PO.AN,PO-AN Smin,0.4,ERWLMN09,
PO.EM,MOS Endcap min,1.2,ERMP06/ERMN06,
CO.W1,CO Wmin,1.0,ER0020,
CO.S1,CO Smin,1.0,ER0044,
CO.WD,CO(D) Width,1.2,ERDP05/ERDN05,
CO.AP,CO-AP Emin,0.8,ERMP10,
CO.AN,CO-AN Emin,0.8,ERMN11,
CO.PG,CO-PO(G) Smin,1.0,ERMP12/ERMN12,
CO.PO,CO-PO Emin,0.8,ER0050,
CO.AD,CO-AD Emin,1.2,ERDP24/ERDN23,
Name,Description,Rule,IP62 Rule Name,
PO.AR,PO-AR Smin,1.0,ERRR15,
PO.WR,PO(AR) Wmin ,2.0,ERRR06,
PO.AN,PO(AR)-AN Smin,???,,
PO.R1,PO must surround AR,,,
PO.R2,PO must tie-down,,,
PR.W1,PO(R) Wmin,4.0,Table I-2-1,
PR.WZ,PO(R) Wmax,20.0,Table I-2-1,*Spice 4.0/6.0/12.0/20.0
PR.L1,PO(R) Lmin,20.0,Table I-2-1,
PR.LZ,PO(R) Lmax,100.0,Table I-2-1,
PR.S1,PO(R) Smin,2.0,ERRS04,
AR.XY,AR corner cut,1.0,,
CR.W1,CO(RR) Width,1.0,,
CR.W2,CO(RR) Wmin,1.0,,
CR.AT,CO(RR)-AR(Top) Emin,1.5,,
CR.AS,CO(RR)-AR(Side) Emin,1.0,,
CC.W1,CO(C) Wmin,1.2,ERCSIO01,
CC.S1,CO(C) Smin,1.2,ERCSIO14,
CC.AC,CO(C)-AC Emin,2.9,ERCSIO03,
CC.AN,CO(C)-AN Emim,1.2,ERCSIO02,
CO.M1,CO-M1 Emin,1.0,ER0051,
CC.M1,CO(C)-M1 Emin,1.2,ERCSIO02,
Name,Description,Rule,IP62 Rule Name,
M1.W1,M1 Wmin,1.8,ER0021,
M1.S1,M1 Smin,1.4,ER0045,
M1.W2,M1(W) Wmin,10.0,ER1402,
M1.S2,M1(W) Smin,2.0,ER1402,
V1.W1,V1 Windth,1.4,ER0022,
V1.S1,V1 Smin,1.5,ER0046,
V1.M1,V1-M1 Emin,1.0,ER0052,
V1.M2,V1-M2 Emin,1.0,ER0052,
V1.PO,V1-PO Smin,1.2,ER1508,
V1.CO,V1-CO Smin,1.0,ER1506,
V1.CL,V1-CO(L) Smin,1.4,ER1507,
M2.W1,M2 Wmin,3.0,ER0023,
M2.S1,M2 Smin,2.0,ER0047,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,